epoch,accuracy,loss,lr
0,0.6513305306434631,0.7321121692657471,9.99775e-05
1,0.7521331906318665,0.5509803295135498,9.9955e-05
2,0.7592558860778809,0.5216077566146851,9.9932506e-05
3,0.7609190940856934,0.5132873058319092,9.991001e-05
4,0.7613981366157532,0.503373384475708,9.988751e-05
5,0.7642002105712891,0.4864087998867035,9.9865014e-05
6,0.758342981338501,0.5007718205451965,9.984252e-05
7,0.776339590549469,0.4649544358253479,9.982002e-05
8,0.7954389452934265,0.43506544828414917,9.979752e-05
9,0.8109679222106934,0.40846267342567444,9.9775025e-05
10,0.8211186528205872,0.3855701684951782,9.975253e-05
