epoch,accuracy,loss,lr
0,0.8699817061424255,0.5198672413825989,9.99775e-05
1,0.9111678004264832,0.25570565462112427,9.9955e-05
2,0.9139668345451355,0.23565782606601715,9.9932506e-05
3,0.9212976694107056,0.21871182322502136,9.991001e-05
4,0.9331603646278381,0.19873575866222382,9.988751e-05
5,0.9415575265884399,0.17949676513671875,9.9865014e-05
6,0.9314720630645752,0.19172196090221405,9.984252e-05
7,0.9423394799232483,0.1692553609609604,9.982002e-05
8,0.9480886459350586,0.15525807440280914,9.979752e-05
9,0.9507544040679932,0.14480343461036682,9.9775025e-05
10,0.9517762660980225,0.13584886491298676,9.975253e-05
11,0.9344043731689453,0.1737041175365448,9.973003e-05
12,0.9473599791526794,0.14876659214496613,9.970753e-05
13,0.9495903849601746,0.1385047733783722,9.9685036e-05
14,0.9514653086662292,0.12975552678108215,9.966254e-05
15,0.9523183107376099,0.12157529592514038,9.964004e-05
