epoch,accuracy,loss,lr
0,0.6923487186431885,0.7046441435813904,9.99775e-05
1,0.7749439477920532,0.5101285576820374,9.9955e-05
2,0.7788770794868469,0.4906628727912903,9.9932506e-05
3,0.7801119089126587,0.48279041051864624,9.991001e-05
4,0.7812552452087402,0.47122856974601746,9.988751e-05
5,0.7853331565856934,0.45026928186416626,9.9865014e-05
6,0.7803100943565369,0.4630768299102783,9.984252e-05
7,0.7978108525276184,0.42196953296661377,9.982002e-05
8,0.8202052116394043,0.3869638741016388,9.979752e-05
9,0.8353354334831238,0.3573121428489685,9.9775025e-05
10,0.8441544771194458,0.33318325877189636,9.975253e-05
11,0.800692081451416,0.42390909790992737,9.973003e-05
12,0.8256779909133911,0.37362149357795715,9.970753e-05
13,0.8376526236534119,0.34719112515449524,9.9685036e-05
14,0.8445507884025574,0.3265003263950348,9.966254e-05
