epoch,accuracy,loss,lr
0,0.6174611449241638,0.7454430460929871,9.99775e-05
1,0.7157219648361206,0.5904778242111206,9.9955e-05
2,0.724289059638977,0.5694183707237244,9.9932506e-05
3,0.7255570888519287,0.56206876039505,9.991001e-05
4,0.7260205149650574,0.5499333739280701,9.988751e-05
5,0.7289170026779175,0.527217447757721,9.9865014e-05
6,0.717955470085144,0.5533956289291382,9.984252e-05
7,0.7396081686019897,0.5113251805305481,9.982002e-05
8,0.7619945406913757,0.47973644733428955,9.979752e-05
9,0.7755113840103149,0.45414474606513977,9.9775025e-05
10,0.7858163714408875,0.43224045634269714,9.975253e-05
