epoch,accuracy,loss,lr
0,0.8342579007148743,0.6263110637664795,9.99775e-05
1,0.9039129018783569,0.3120056092739105,9.9955e-05
2,0.9059895277023315,0.2529424726963043,9.9932506e-05
3,0.9146221876144409,0.23027850687503815,9.991001e-05
4,0.9240558743476868,0.21375812590122223,9.988751e-05
5,0.9314723014831543,0.19783608615398407,9.9865014e-05
6,0.9259099960327148,0.20439870655536652,9.984252e-05
7,0.9345723986625671,0.18684859573841095,9.982002e-05
8,0.9404461979866028,0.17287078499794006,9.979752e-05
9,0.9454448223114014,0.160991832613945,9.9775025e-05
10,0.9488860368728638,0.1508491337299347,9.975253e-05
