epoch,accuracy,loss,lr
0,0.7044157385826111,0.6621347665786743,9.99775e-05
1,0.762519359588623,0.5220972299575806,9.9955e-05
2,0.7631148099899292,0.5152363777160645,9.9932506e-05
3,0.7635691165924072,0.5078260898590088,9.991001e-05
4,0.7642815113067627,0.4906783998012543,9.988751e-05
5,0.7716468572616577,0.4666101038455963,9.9865014e-05
6,0.7589123845100403,0.4939701557159424,9.984252e-05
7,0.7815763354301453,0.44979068636894226,9.982002e-05
8,0.8007090091705322,0.4202268719673157,9.979752e-05
9,0.8093615770339966,0.39890846610069275,9.9775025e-05
