epoch,accuracy,loss,lr
0,0.5445093512535095,0.7153221964836121,9.99775e-05
1,0.6554390788078308,0.7064656615257263,9.9955e-05
2,0.7174772024154663,0.6932200789451599,9.9932506e-05
3,0.7405052185058594,0.6698209047317505,9.991001e-05
4,0.7482385039329529,0.6350633502006531,9.988751e-05
5,0.75124591588974,0.5965920090675354,9.9865014e-05
6,0.739560067653656,0.5768635869026184,9.984252e-05
7,0.7443718910217285,0.5547894239425659,9.982002e-05
8,0.7477229833602905,0.5400307774543762,9.979752e-05
9,0.7500429749488831,0.5302693843841553,9.9775025e-05
10,0.7515037059783936,0.5229039192199707,9.975253e-05
11,0.7563155293464661,0.5153689980506897,9.973003e-05
12,0.7609555125236511,0.5066591501235962,9.970753e-05
13,0.7659391760826111,0.49879923462867737,9.9685036e-05
14,0.7693761587142944,0.49077215790748596,9.966254e-05
15,0.775906503200531,0.4823853671550751,9.964004e-05
16,0.7703213691711426,0.4881385266780853,9.9617544e-05
17,0.779257595539093,0.47645455598831177,9.959505e-05
18,0.7897405028343201,0.46533551812171936,9.957255e-05
19,0.7979034185409546,0.4544832408428192,9.955005e-05
20,0.8046915531158447,0.4441171884536743,9.9527555e-05
21,0.788881242275238,0.4566015899181366,9.950506e-05
22,0.7999656200408936,0.4433053731918335,9.948256e-05
23,0.8100188970565796,0.43190479278564453,9.946006e-05
24,0.81895512342453,0.4215144217014313,9.9437566e-05
25,0.8253995776176453,0.4119811952114105,9.941507e-05
26,0.8096752166748047,0.4279762804508209,9.939257e-05
27,0.8191270232200623,0.4152117669582367,9.9370074e-05
28,0.825657308101654,0.40496528148651123,9.934758e-05
29,0.8329609632492065,0.39597809314727783,9.932508e-05
30,0.8397490978240967,0.38767439126968384,9.930258e-05
31,0.8210173845291138,0.41206246614456177,9.9280085e-05
32,0.8317580223083496,0.39891448616981506,9.925759e-05
33,0.8375150561332703,0.3889711797237396,9.923509e-05
34,0.8454201817512512,0.3808304965496063,9.921259e-05
35,0.8478260636329651,0.37330955266952515,9.9190096e-05
36,0.8357965350151062,0.38534486293792725,9.91676e-05
37,0.8464512825012207,0.3720889687538147,9.91451e-05
38,0.8516067862510681,0.36262595653533936,9.9122604e-05
39,0.8563327193260193,0.3550510108470917,9.910011e-05
40,0.8607149124145508,0.3480212092399597,9.907761e-05
41,0.8453342318534851,0.3676791489124298,9.905511e-05
42,0.8558171391487122,0.3540595769882202,9.9032615e-05
43,0.8601134419441223,0.34466487169265747,9.901012e-05
44,0.8628630638122559,0.3371613323688507,9.898762e-05
