epoch,f1,loss,lr
0,0.001261404948309064,0.11518613249063492,9.99775e-05
1,0.09426482021808624,0.08468253910541534,9.9955e-05
2,0.13481852412223816,0.08033154904842377,9.9932506e-05
3,0.1672600358724594,0.07717525959014893,9.991001e-05
4,0.19122804701328278,0.07491948455572128,9.988751e-05
5,0.20280370116233826,0.07337050884962082,9.9865014e-05
6,0.21202366054058075,0.07221231609582901,9.984252e-05
7,0.2196003496646881,0.07126902788877487,9.982002e-05
8,0.22580170631408691,0.07044769823551178,9.979752e-05
9,0.2307673841714859,0.06970516592264175,9.9775025e-05
10,0.2357846349477768,0.06913720071315765,9.975253e-05
11,0.2405511438846588,0.06856119632720947,9.973003e-05
12,0.2506702244281769,0.06791573017835617,9.970753e-05
13,0.2526004910469055,0.06757053732872009,9.9685036e-05
14,0.257488489151001,0.06712720543146133,9.966254e-05
15,0.2638886868953705,0.0665818452835083,9.964004e-05
16,0.26580026745796204,0.0662369653582573,9.9617544e-05
17,0.2702350616455078,0.06593278795480728,9.959505e-05
18,0.2694494426250458,0.06564763933420181,9.957255e-05
19,0.27821648120880127,0.06510849297046661,9.955005e-05
20,0.27591466903686523,0.06491650640964508,9.9527555e-05
21,0.28285256028175354,0.06460773944854736,9.950506e-05
22,0.2861402928829193,0.06425134837627411,9.948256e-05
23,0.2873346507549286,0.06397974491119385,9.946006e-05
24,0.2904745638370514,0.06374630331993103,9.9437566e-05
25,0.29276323318481445,0.06340273469686508,9.941507e-05
26,0.29298797249794006,0.06338854879140854,9.939257e-05
27,0.2994169592857361,0.06292057782411575,9.9370074e-05
28,0.3014345169067383,0.06267259269952774,9.934758e-05
29,0.3024788200855255,0.06259938329458237,9.932508e-05
30,0.30321207642555237,0.06240197271108627,9.930258e-05
31,0.30698272585868835,0.062112487852573395,9.9280085e-05
32,0.3080325722694397,0.06187109649181366,9.925759e-05
33,0.3136853873729706,0.06156335398554802,9.923509e-05
34,0.31454506516456604,0.061498258262872696,9.921259e-05
35,0.3171722888946533,0.061203278601169586,9.9190096e-05
36,0.31886595487594604,0.06104396656155586,9.91676e-05
37,0.3202156722545624,0.06079002842307091,9.91451e-05
38,0.3208070695400238,0.06068623438477516,9.9122604e-05
39,0.3236612379550934,0.06045958399772644,9.910011e-05
40,0.3257216811180115,0.060237299650907516,9.907761e-05
41,0.327576220035553,0.060159701853990555,9.905511e-05
42,0.33065521717071533,0.060059983283281326,9.9032615e-05
43,0.32886382937431335,0.05983879044651985,9.901012e-05
44,0.33294054865837097,0.0596696212887764,9.898762e-05
45,0.33192092180252075,0.05953701213002205,9.896512e-05
46,0.33494555950164795,0.059319160878658295,9.8942626e-05
47,0.3361774682998657,0.059210773557424545,9.892013e-05
48,0.3374622166156769,0.059072479605674744,9.889763e-05
49,0.34093356132507324,0.05885356292128563,9.8875134e-05
50,0.33925047516822815,0.05874303728342056,9.885264e-05
51,0.34144407510757446,0.05865326151251793,9.883014e-05
52,0.34516987204551697,0.05842976272106171,9.880764e-05
53,0.34411582350730896,0.05840813368558884,9.8785145e-05
54,0.34409329295158386,0.05845480412244797,9.876265e-05
55,0.3464670479297638,0.05825474113225937,9.874015e-05
56,0.34662750363349915,0.05809713527560234,9.871765e-05
57,0.34927722811698914,0.057869549840688705,9.8695156e-05
58,0.3522354066371918,0.05774977430701256,9.867266e-05
59,0.35305941104888916,0.05762486532330513,9.865016e-05
60,0.3522893786430359,0.05769670009613037,9.8627665e-05
61,0.35388240218162537,0.057509563863277435,9.860517e-05
62,0.35647210478782654,0.05734989047050476,9.858267e-05
63,0.355293333530426,0.05734948068857193,9.856017e-05
64,0.3543410003185272,0.057345543056726456,9.8537676e-05
65,0.35871949791908264,0.057125452905893326,9.851518e-05
66,0.35915911197662354,0.057025499641895294,9.849268e-05
67,0.36284488439559937,0.05680368095636368,9.8470184e-05
68,0.36124029755592346,0.05678332597017288,9.844769e-05
69,0.36286088824272156,0.05670168995857239,9.842519e-05
70,0.3629377484321594,0.056585244834423065,9.840269e-05
71,0.36700496077537537,0.056476954370737076,9.8380195e-05
72,0.36635494232177734,0.05637987703084946,9.83577e-05
73,0.3664630055427551,0.05638812482357025,9.83352e-05
74,0.3706784248352051,0.05613616853952408,9.83127e-05
75,0.3664827048778534,0.056267838925123215,9.8290206e-05
76,0.3685862421989441,0.05616007372736931,9.826771e-05
77,0.37107932567596436,0.055958349257707596,9.824521e-05
78,0.37153351306915283,0.05598298832774162,9.8222714e-05
79,0.3733075261116028,0.05582493543624878,9.820022e-05
80,0.37270280718803406,0.055810946971178055,9.817772e-05
81,0.3733280897140503,0.0556945838034153,9.815522e-05
82,0.3729446530342102,0.05572160333395004,9.8132725e-05
83,0.3756850063800812,0.055547937750816345,9.811023e-05
84,0.3757549822330475,0.05563893914222717,9.808773e-05
85,0.3769519329071045,0.055459462106227875,9.806523e-05
86,0.37932586669921875,0.05530913919210434,9.8042736e-05
87,0.37766507267951965,0.05533432587981224,9.802024e-05
88,0.37789902091026306,0.05532990023493767,9.799774e-05
89,0.3770192265510559,0.055344562977552414,9.7975244e-05
