epoch,accuracy,loss,lr
0,0.8231956958770752,0.5683150291442871,9.99775e-05
1,0.8730102777481079,0.327305406332016,9.9955e-05
2,0.8795148134231567,0.30305078625679016,9.9932506e-05
3,0.8885204195976257,0.28590571880340576,9.991001e-05
4,0.9034792184829712,0.2642066478729248,9.988751e-05
5,0.9135555624961853,0.24187102913856506,9.9865014e-05
6,0.8967829346656799,0.25896844267845154,9.984252e-05
7,0.9131560325622559,0.2297777235507965,9.982002e-05
8,0.9206433892250061,0.2119726687669754,9.979752e-05
9,0.9234721660614014,0.19869929552078247,9.9775025e-05
10,0.9262449741363525,0.18620096147060394,9.975253e-05
